Error,Word
অ ভ ি শ া ফ,অ ভ ি শ া প
অ ঝ ী র ্ ণ ত া,অ জ ী র ্ ণ ত া
অ ষ ্ ভ স ্ ত ি স ূ চ ক,অ স ্ ব স ্ ত ি স ূ চ ক
অ প ্ র ত ি ভ ণ ্ ধ ক,অ প ্ র ত ি ব ন ্ ধ ক
অ ণ ্ ত র ্ ভ ি র ো ধ,অ ন ্ ত র ্ ব ি র ো ধ
অ ঙ ্ গ ধ,অ ঙ ্ গ দ
অ ণ ু ক র ্ ম,অ ন ু ক র ্ ম
আ য া ড় া,আ জ া ড় া
আ ণ ্ ত ্ র ি ক,আ ন ্ ত ্ র ি ক
আ গ ো ম ো ণ ্,আ গ ো ম ো ন ্
আ ধ ড় া,আ দ ড় া
অ ন ্ ত ঃ ফ া ত ী,অ ন ্ ত ঃ প া ত ী
আ প ি ম খ ো র,আ ফ ি ম খ ো র
অ গ ্ র জ ি হ ্ ভ া,অ গ ্ র জ ি হ ্ ব া
অ ন ্ ত ঃ ফ ্ র ভ ে শ,অ ন ্ ত ঃ প ্ র ব ে শ
অ ণ ু জ,অ ন ু জ
অ শ ্ ব া ছ ্ ছ ণ ্ দ ্ য ে র,অ স ্ ব া চ ্ ছ ন ্ দ ্ য ে র
অ ন ্ ত ঊ ট ি,অ ন ্ ত উ ট ি
অ ক ি ন ্ ছ ি ত ্ ক র,অ ক ি ন ্ চ ি ত ্ ক র
আ ত ্ ম া স ্ র য়,আ ত ্ ম া শ ্ র য়
অ ন স ্,অ ন শ ্
আ ভ ৃ ত ্ ত ি,আ ব ৃ ত ্ ত ি
অ ত ি শ ত ্ ব র,অ ত ি স ত ্ ব র
অ ণ ্ ত র ্ ম ু খ ী,অ ন ্ ত র ্ ম ু খ ী
অ ম ি ত ফ ্ র ভ া ভ হ ে ত ু,অ ম ি ত প ্ র ভ া ব হ ে ত ু
অ ক ে ল া ষ,অ ক ে ল া স
আ ক ্ দ খ া ণ ি,আ ক ্ দ খ া ন ি
অ হ ো ণ া,অ হ ো ন া
অ ভ ি স ্ ঝ ন ্ ধ ী,অ ভ ি স ্ য ন ্ দ ী
অ ত ো ধ ্,অ ত ো দ ্
অ গ ্ র ণ ে ত া,অ গ ্ র ন ে ত া
অ ষ ্ ত ্ র স ্ ভ র ূ প,অ স ্ ত ্ র স ্ ব র ূ প
অ ট ্ ট ভ ো ল,অ ট ্ ট ব ো ল
আ চ ু ক,আ ছ ু ক
অ ষ হ ন,অ স হ ন
অ প গ ম ণ,অ প গ ম ন
অ ব ি র ো দ ে,অ ব ি র ো ধ ে
অ স ্ প ু ট ত া,অ স ্ ফ ু ট ত া
অ ত ু শ ্ ট ি ক র,অ ত ু ষ ্ ট ি ক র
অ ষ ্ ব ফ ত ি র,অ শ ্ ব প ত ি র
অ ব ্ জ া হ ি ত ি,অ ব ্ য া হ ি ত ি
অ ণ ি র ্ ম ল,অ ন ি র ্ ম ল
আ খ য া,আ খ জ া
আ ঠ া ঝ ু ক ্ ত,আ ঠ া য ু ক ্ ত
অ ধ র ্ স ন,অ দ র ্ শ ন
অ ল ঙ ্ ক া র ষ া স ্ ত ্ র ে,অ ল ঙ ্ ক া র শ া স ্ ত ্ র ে
অ ঞ ্ জ ণ ী,অ ঞ ্ জ ন ী
আ ঙ ণ ে,আ ঙ ন ে
অ ণ ু ন ্,অ ন ু ন ্
অ ছ প ো ল ্,অ চ প ো ল ্
অ স ম ্ ফ ণ ্ ন ত া ব ো ধ ক,অ স ম ্ প ন ্ ন ত া ব ো ধ ক
আ ণ ি অ,আ ন ি অ
অ ভ ল ু ন ্ ঠ ি ত,অ ব ল ু ন ্ ঠ ি ত
আ ত প জ ু ক ্ ত,আ ত প য ু ক ্ ত
আ ঢ ্ ড া দ া র ী,আ ড ্ ড া ধ া র ী
অ ত ৃ ণ ্,অ ত ৃ ন ্
আ গ ণ ্ ত ু ক,আ গ ন ্ ত ু ক
আ ম ণ ্ ত ্ র ক,আ ম ন ্ ত ্ র ক
অ হ ি ণ ক ু ল শ ম ্ ব ণ ্ ধ,অ হ ি ন ক ু ল স ম ্ ব ন ্ ধ
আ ঝ া ড় ্,আ জ া ড় ্
অ ফ ে ক ্ ষ া ক া র ী,অ প ে ক ্ ষ া ক া র ী
অ ণ ু জ ্ ঞ া র,অ ন ু জ ্ ঞ া র
অ ন া র ্ ঝ,অ ন া র ্ য
আ ঘ া ত জ ণ ি ত,আ ঘ া ত জ ন ি ত
অ র য া ঃ,অ র জ া ঃ
অ ক ্ স ত জ ো ন ি,অ ক ্ ষ ত য ো ন ি
অ ণ ে ক ্ শ ণ,অ ন ে ক ্ ষ ণ
অ ষ ্ থ ি স ম ্ ভ ণ ্ ধ ী য়,অ স ্ থ ি স ম ্ ব ন ্ ধ ী য়
অ ষ ্ ত ্ র ো ফ চ া র ে র,অ স ্ ত ্ র ো প চ া র ে র
অ ষ ্ থ ি দ া ণ,অ স ্ থ ি দ া ন
আ ঝ ্ ঞ প ্ ত ি,আ জ ্ ঞ প ্ ত ি
অ স ু শ ্,অ শ ু শ ্
আ ক ্ র ো স,আ ক ্ র ো শ
অ ঞ ্ ঝ ন া,অ ঞ ্ জ ন া
অ ণ ু চ র দ ে র,অ ন ু চ র দ ে র
অ গ ্ ন ি ধ া ত া,অ গ ্ ন ি দ া ত া
অ শ হ া য় ে র,অ স হ া য় ে র
অ ঞ ্ ছ,অ ঞ ্ চ
অ র া য ক ত া,অ র া জ ক ত া
আ ণ ু ক ্ র ম ি ক ব া ব ে,আ ন ু ক ্ র ম ি ক ভ া ব ে
অ ভ ি দ ব া,অ ব ি ধ ব া
অ ফ ্ র ো স ্,অ প ্ র ো স ্
অ ন ্ ভ য়,অ ন ্ ব য়
অ ন ো দ ি ত ো,অ ন ো ধ ি ত ো
আ ঁ ক ক স া,আ ঁ ক ক ষ া
অ ক ু স ল ্,অ ক ু শ ল ্
অ ণ ্ ত ঃ স ম ্ ব ণ ্ দ ী য়,অ ন ্ ত ঃ স ম ্ ব ন ্ ধ ী য়
অ ভ ো ত ি র ্,অ ব ো ত ি র ্
অ গ ্ ন ি ভ র ্ ষ ন ক া র ী,অ গ ্ ন ি ব র ্ ষ ণ ক া র ী
